job_id,job_title,company_name,location,work_location_type,country,posting_date,application_deadline,source,source_url,salary_currency,salary_min,salary_max,visa_sponsorship,diversity_badges,required_skills,verification_status,posting_active
jobberman_gh_201,Cybersecurity SOC Analyst & Systems Admin,Sika Financial Systems Ghana,"Accra, Greater Accra, Ghana",hybrid,Ghana,2026-08-16,2026-08-31,jobberman,https://www.jobberman.com.gh/job/soc-analyst-sika,GHS,15000,25000,no,Women in Tech Initiatives; DEI Commitment; Disability-Inclusive Opportunities,Cybersecurity; SOC Analyst; Network Engineering; Linux; Security+; SIEM; Python,verified,yes
jobberman_gh_202,IoT & Embedded Systems Engineer,AgriTech Ghana Innovations,"Kumasi, Ashanti Region, Ghana",on_site,Ghana,2026-08-16,2026-09-05,jobberman,https://www.jobberman.com.gh/job/embedded-systems-engineer-agritech,GHS,12000,18000,no,African Diaspora Talent Programs; BIPOC / Underrepresented Minorities,C++; C; Python; IoT; Embedded Systems; MQTT; Raspberry Pi,verified,yes
linkedin_301,Cloud DevOps Engineer (AWS / Terraform),Hubtel Ghana,"Accra, Ghana",hybrid,Ghana,2026-08-16,2026-09-05,linkedin,https://www.linkedin.com/jobs/view/devops-engineer-hubtel,GHS,25000,40000,case_by_case,Women in Tech Initiatives; BIPOC / Underrepresented Minorities; DEI Commitment,AWS; Docker; Kubernetes; Terraform; Python; CI/CD; Linux,verified,yes
linkedin_302,AI/ML Engineer - NLP & Computer Vision,Google Africa Research Center,"Accra, Ghana",hybrid,Ghana,2026-08-16,2026-09-20,linkedin,https://www.linkedin.com/jobs/view/aiml-engineer-google-accra,USD,60000,95000,yes,African Diaspora Talent Programs; BIPOC / Underrepresented Minorities; Women in Tech Initiatives; Disability-Inclusive Opportunities; LGBTQ+ Friendly Workplace Badges,Python; PyTorch; TensorFlow; Machine Learning; NLP; Computer Vision; C++,verified,yes
glassdoor_401,Lead Software Engineer - MERN / React Native,mPharma,"Accra, Ghana",hybrid,Ghana,2026-08-16,2026-09-06,glassdoor,https://www.glassdoor.com/job-listing/lead-software-engineer-mpharma,GHS,30000,48000,yes,Women in Tech Initiatives; BIPOC / Underrepresented Minorities; DEI Commitment,JavaScript; TypeScript; React; React Native; Node.js; Express; MongoDB; PostgreSQL,verified,yes
wellfound_501,Senior Frontend Developer (React / Tailwind),Paystack (Stripe Company),Remote (Ghana / Nigeria),remote_only,Ghana,2026-08-16,2026-09-13,wellfound,https://wellfound.com/jobs/paystack-senior-frontend-developer,USD,50000,80000,yes,LGBTQ+ Friendly Workplace Badges; African Diaspora Talent Programs; BIPOC / Underrepresented Minorities,JavaScript; TypeScript; React; Next.js; Tailwind; CSS3; Git,verified,yes
careers_601,Software Engineer II - Cloud & Microservices,Microsoft Africa Development Centre (ADC),"Accra, Ghana",hybrid,Ghana,2026-08-16,2026-09-15,company_careers,https://careers.microsoft.com/us/en/job/adc-accra-software-engineer,USD,55000,85000,yes,Disability-Inclusive Opportunities; Women in Tech Initiatives; African Diaspora Talent Programs; LGBTQ+ Friendly Workplace Badges,C#; Go; Azure; Kubernetes; Docker; Microservices; SQL,verified,yes
careers_602,Senior Backend Engineer (Django & PostgreSQL),ExpressPay Ghana,"Accra, Ghana",hybrid,Ghana,2026-08-16,2026-09-03,company_careers,https://expresspaygh.com/careers/backend-engineer,GHS,20000,32000,no,Women in Tech Initiatives; BIPOC / Underrepresented Minorities,Python; Django; PostgreSQL; Redis; AWS; REST API; Docker,verified,yes
remoteok_gh_101,Senior Full-Stack Engineer (Next.js & Python),AfroTech Global Systems,"Accra, Ghana (Remote)",remote_only,Ghana,2026-08-16,2026-09-10,remoteok,https://remoteok.com/jobs/senior-fullstack-engineer-afrotech,USD,45000,75000,yes,BIPOC / Underrepresented Minorities; Women in Tech Initiatives; African Diaspora Talent Programs,Python; JavaScript; TypeScript; Next.js; React; FastAPI; AWS; Docker,verified,yes
wwr_-6582121841585893125,GTM Operations Process Architect,Stripe,Worldwide Remote,remote_only,International,2026-08-16,2026-09-15,weworkremotely,https://weworkremotely.com/remote-jobs/stripe-gtm-operations-process-architect,USD,0,0,not_mentioned,DEI Commitment,Go; SQL,verified,yes
wwr_-6218614328952143101,"Fullstack Engineer, Privy",Stripe,Worldwide Remote,remote_only,International,2026-08-16,2026-09-15,weworkremotely,https://weworkremotely.com/remote-jobs/stripe-fullstack-engineer-privy,USD,0,0,not_mentioned,DEI Commitment,React; AWS; TypeScript; Next.js,verified,yes
wwr_-5056835718325527831,GFCO Program Manager,Coinbase,Worldwide Remote,remote_only,International,2026-08-16,2026-09-15,weworkremotely,https://weworkremotely.com/remote-jobs/coinbase-gfco-program-manager,USD,193970,193970,not_mentioned,Disability-Inclusive Opportunities; DEI Commitment,Go,verified,yes
wwr_-5665415559716184419,Creative Director,Coinbase,Worldwide Remote,remote_only,International,2026-08-16,2026-09-15,weworkremotely,https://weworkremotely.com/remote-jobs/coinbase-creative-director,USD,216300,216300,not_mentioned,Disability-Inclusive Opportunities; DEI Commitment,,verified,yes
wwr_-5838074233897430730,"Counsel, Commercial",Coinbase,Worldwide Remote,remote_only,International,2026-08-16,2026-09-15,weworkremotely,https://weworkremotely.com/remote-jobs/coinbase-counsel-commercial,USD,183855,183855,not_mentioned,Disability-Inclusive Opportunities; DEI Commitment,,verified,yes
wwr_557741157480114930,Senior Solutions Architect,Airtable,Worldwide Remote,remote_only,International,2026-08-16,2026-09-15,weworkremotely,https://weworkremotely.com/remote-jobs/airtable-senior-solutions-architect,USD,170000,170000,not_mentioned,Disability-Inclusive Opportunities; DEI Commitment,,verified,yes
wwr_-8571668439685379883,Senior Solutions Architect- West Coast,Airtable,Worldwide Remote,remote_only,International,2026-08-16,2026-09-15,weworkremotely,https://weworkremotely.com/remote-jobs/airtable-senior-solutions-architect-west-coast,USD,170000,170000,not_mentioned,Disability-Inclusive Opportunities; DEI Commitment,,verified,yes
wwr_6673391740615521676,"Staff Software Engineer,  AI Developer Tools","Gusto, Inc.",Worldwide Remote,remote_only,International,2026-08-16,2026-09-15,weworkremotely,https://weworkremotely.com/remote-jobs/gusto-inc-staff-software-engineer-ai-developer-tools,USD,180000,180000,not_mentioned,Disability-Inclusive Opportunities; DEI Commitment,,verified,yes
wwr_-4838509689424492673,"Communications Manager, Policy & Public Affairs",Coinbase,Worldwide Remote,remote_only,International,2026-08-16,2026-09-15,weworkremotely,https://weworkremotely.com/remote-jobs/coinbase-communications-manager-policy-public-affairs,USD,170765,170765,not_mentioned,Disability-Inclusive Opportunities; DEI Commitment,,verified,yes
